iter	Passed	Remaining
0	95	95452
1	165	82574
2	228	76015
3	301	75048
4	366	72878
5	431	71444
6	497	70570
7	582	72234
8	655	72211
9	742	73501
10	814	73240
11	891	73393
12	963	73181
13	1036	73025
14	1107	72754
15	1182	72716
16	1254	72534
17	1327	72423
18	1394	71975
19	1459	71526
20	1523	71011
21	1601	71214
22	1666	70795
23	1763	71701
24	1843	71878
25	1925	72128
26	1976	71239
27	2037	70744
28	2098	70279
29	2160	69850
30	2221	69430
31	2280	68990
32	2339	68547
33	2397	68122
34	2464	67953
35	2521	67517
36	2575	67037
37	2680	67852
38	2751	67810
39	2838	68129
40	2900	67839
41	2960	67522
42	3012	67042
43	3071	66733
44	3127	66366
45	3188	66136
46	3245	65798
47	3318	65808
48	3384	65686
49	3446	65476
50	3522	65553
51	3581	65291
52	3648	65188
53	3719	65166
54	3784	65019
55	3854	64981
56	3921	64869
57	3980	64643
58	4048	64571
59	4102	64277
60	4165	64125
61	4221	63861
62	4281	63672
63	4340	63484
64	4394	63209
65	4452	63016
66	4518	62924
67	4576	62731
68	4638	62585
69	4703	62486
70	4763	62330
71	4817	62097
72	4883	62016
73	4946	61903
74	5014	61839
75	5066	61599
76	5125	61441
77	5184	61285
78	5237	61057
79	5293	60879
80	5352	60722
81	5415	60629
82	5480	60547
83	5543	60451
84	5615	60446
85	5698	60563
86	5776	60622
87	5858	60716
88	5924	60647
89	5984	60505
90	6048	60421
91	6125	60454
92	6187	60349
93	6256	60297
94	6318	60187
95	6374	60026
96	6438	59940
97	6501	59841
98	6569	59787
99	6629	59661
100	6704	59673
101	6766	59568
102	6827	59460
103	6882	59299
104	6942	59173
105	6995	58996
106	7055	58882
107	7112	58747
108	7172	58631
109	7234	58530
110	7303	58493
111	7361	58365
112	7416	58217
113	7477	58112
114	7533	57977
115	7600	57919
116	7660	57811
117	7757	57980
118	7865	58229
119	7946	58276
120	8014	58224
121	8073	58101
122	8130	57974
123	8200	57929
124	8275	57928
125	8375	58099
126	8497	58413
127	8572	58398
128	8638	58325
129	8715	58329
130	8780	58246
131	8857	58244
132	8927	58196
133	8992	58115
134	9057	58038
135	9115	57910
136	9173	57784
137	9341	58351
138	9405	58259
139	9469	58167
140	9530	58060
141	9591	57955
142	9654	57860
143	9719	57778
144	9777	57655
145	9840	57562
146	9906	57482
147	9965	57366
148	10029	57279
149	10107	57275
150	10166	57160
151	10227	57061
152	10295	56996
153	10356	56891
154	10407	56738
155	10472	56657
156	10535	56571
157	10595	56462
158	10655	56362
159	10726	56315
160	10793	56247
161	10871	56236
162	10941	56182
163	11011	56130
164	11078	56065
165	11159	56065
166	11217	55953
167	11279	55860
168	11340	55762
169	11409	55702
170	11476	55637
171	11546	55582
172	11620	55550
173	11684	55466
174	11748	55386
175	11808	55286
176	11868	55182
177	11919	55043
178	11974	54921
179	12032	54816
180	12088	54700
181	12163	54669
182	12227	54589
183	12298	54540
184	12361	54458
185	12433	54412
186	12487	54291
187	12559	54244
188	12619	54151
189	12675	54038
190	12742	53972
191	12803	53879
192	12876	53840
193	12934	53738
194	12998	53658
195	13054	53551
196	13117	53469
197	13182	53395
198	13238	53288
199	13303	53215
200	13364	53126
201	13418	53010
202	13511	53047
203	13596	53051
204	13674	53031
205	13758	53030
206	13840	53020
